id,internationalSecNumber,symbol,marketCap,sharesOutstanding,sector,subSector,companyName,marketClassification,dateListed,dateOfIncorporation,website,natureofBusiness,companyAddress,telephone,fax,email,companySecretary,auditor,registrars,boardOfDirectors
1,NGMOBIL00007,MOBIL,,360595262.0,OIL AND GAS,Petroleum and Petroleum Produc,11 PLC,Main Board,1991-07-25T00:00:00,1951-12-31T00:00:00,www.11plc.com,"Marketing of Petroleum products, Manufacturing of automotive /industrial Lubricants and Petroleum jelly","1, Mobil Road, Apapa, Lagos.",012801600,012801607,info@11plc.com,Chris-Olumayowa Meseko,Grant Thornton Nigeria,Greenwich Registrars,
2,NGABBEY00001,ABBEYBDS,,6461538462.0,FINANCIAL SERVICES,"""Mortgage Carriers, Brokers an",ABBEY MORTGAGE BANK PLC,Main Board,,1991-08-26T00:00:00,www.abbeymortgagebankplc.com,Primary Mortgage Bank (PMB),23 KARIMU KOTUN STREET VICTORIA ISLAND LAGOS,019035700,,enquiries@abbeymortgagebankplc.com,GEOFFREY AMAGHEREONU,,AFRICA PRUDENTIAL PLC,
3,NGACADEMY008,ACADEMY,,604800000.0,SERVICES,Printing/Publishing,ACADEMY PRESS PLC.,Main Board,1965-06-15T00:00:00,1964-07-28T00:00:00,www.academypress-plc.com,"Offset Lithographic printing, Educational and Trade Books, confidential Printing, Full Colour Work","28/32 Industrial Avenue, Ilupeju Industrial Estate, Ilupeju - Lagos",08034035130,,applc@academypress-plc.com,Alpha-Genasec Limited,"Ernst &amp; Young, HLB Z.O. Ososanya &amp; Co.,",Pace Registrars Limited,
4,NGACCESS0005,ACCESS,,35545225622.0,FINANCIAL SERVICES,Banking,ACCESS BANK PLC.,Premium Board,,1989-02-08T00:00:00,www.accessbankplc.com,Commercial Banking,"Access Tower Plot 14/15, Prince Alaba Oniru Street, Oniru Estate, Victoria Island, Lagos",23412805628,ACCESS BANK PLC 029200328C3N9YI2D660,info@accessbankplc.com,Mr. Sunday Ekwochi,PricewaterhouseCoopers,"United Securities Limited, United Securities Limited, United Securities Limited, United Securities Limited",
5,NGAFRIPRUD04,AFRIPRUD,,2000000000.0,FINANCIAL SERVICES,Other Financial Institutions,AFRICA PRUDENTIAL PLC,Main Board,2013-11-01T00:00:00,2006-03-23T00:00:00,www.africaprudentialregistrars.com,Share Registration,"220B, IKORODU ROAD,PALMGROVE,LAGOS",07080606400,,info@africaprudentialregistrars.com,,AKINTOLA WILLIAMS DELOITTE,AFRICA PRUDENTIAL REGISTRARS PLC,
6,NGAFRINSURE4,AFRINSURE,,20585000000.0,FINANCIAL SERVICES,"""Insurance Carriers, Brokers a",AFRICAN ALLIANCE INSURANCE PLC,Main Board,2009-09-17T00:00:00,1960-05-06T00:00:00,www.africanallianceplc.com,Life and Pension Businesses,"54, Awolowo Road, Ikoyi, Lagos",08066309476,,info@africanallianceplc.com,Tope  Adebayo LLP,Deloitte &amp;Touche,Mainstreet Bank Registrars Limited,
7,NGAFROMEDIA7,AFROMEDIA,,4439046986.0,SERVICES,Advertising,AFROMEDIA PLC,Main Board,2009-05-18T00:00:00,1959-10-28T00:00:00,www.afromediaplc.com,Out-of-Home Media Services,"39, LADIPO BATEYE STREET, GRA, IKEJA, LAGOS",07013486336,,info@afromediaplc.com,IFETOLA FADEYIBI,ERNST &amp; YOUNG,EDC REGISTRARS LIMITED,"Kabiru Usman, Lateef Akande  Bakare, Olujide Shokunbi"
8,NGAIICO00006,AIICO,,20673265406.0,FINANCIAL SERVICES,"""Insurance Carriers, Brokers a",AIICO INSURANCE PLC.,Main Board,,1970-07-14T00:00:00,www.aiicoplc.com,Provision of Insurance Services to Individuals and Corproate clients and Investment,"AIICO Plaza, Plot PC 12, Churchgate Street, Victoria Island, Lagos",012792930,2348022921804-5,info@aiicoplc.com,Donald Kanu,,United Securities Limited,
9,GB00BKDRYJ47,AIRTELAFRI,,3758151504.0,ICT,Telecommunications Services,AIRTEL AFRICA PLC,Main Board,2019-07-09T00:00:00,2018-07-12T00:00:00,,Telecommunication Services,,,,,,,,
10,NGALEX000003,ALEX,,219956000.0,NATURAL RESOURCES,Metals,ALUMINIUM EXTRUSION IND. PLC.,Main Board,1987-12-29T00:00:00,1982-10-26T00:00:00,http://alexnigeria.com/,Manufacturing and Sales of Extruded Aluminium Products and Roofing Shets,"Km 4, Atta-Amaimo Road, Inyishi, P.M.B. 1581, Owerri, Imo State",07059872478,,alex@alexnigeria.com,DCSL Corporate Services Limited,"Madu, Onyekwena &amp; Co",GTL Registrars Limited,
