internationalSecNumber,typeOfSubmission,description,url,dateModified
NGMOBIL00007,Corporate Actions,11 PLC -11 PLC NEWSPAPER ADVERT,https://doclib.ngxgroup.com/Financial_NewsDocs/32968_11_PLC_ 11_PLC_NEWSPAPER_ADVERT_CORPORATE_ACTIONS_APRI.pdf,2021-04-08T14:56:20Z
NGMOBIL00007,Corporate Actions,11 PLC -11 PLC CORPORATE ACTION ANNOUNCEMENT,https://doclib.ngxgroup.com/Financial_NewsDocs/32838_11_PLC_ 11_PLC_CORPORATE_ACTION_ANNOUNCEMENT_CORPORATE.pdf,2021-03-31T15:13:37Z
NGMOBIL00007,Board Meeting (BM),11 PLC - BOARD RESOLUTION,https://doclib.ngxgroup.com/Financial_NewsDocs/32791_11_PLC_ _NOTICES_OF_BOARD_MEETING_(BM)_ _BOARD_RESOLUT.pdf,2021-03-31T07:55:33Z
NGMOBIL00007,Corporate Actions,11 PLC -11 PLC (FORMERLY MOBIL OIL NIG PLC) REPORTING COMPLIANCE-2020 FINANCIAL YEAR,https://doclib.ngxgroup.com/Financial_NewsDocs/32694_11_PLC_ 11_PLC_(FORMERLY_MOBIL_OIL_NIG_PLC)_REPORTING_.pdf,2021-03-26T14:32:36Z
NGMOBIL00007,Corporate Actions,11 PLC -NOTIFICATION TO NSE AND DECLARATION OF CLOSE PERIOD,https://doclib.ngxgroup.com/Financial_NewsDocs/32590_11_PLC_ NOTIFICATION_TO_NSE_AND_DECLARATION_OF_CLOSE_P.pdf,2021-03-12T07:56:14Z
NGMOBIL00007,Corporate Actions,11 PLC -11 PLC EXTENSION OF THE DISSENTING PERIOD FOR THE PROPOSED DELISTING,https://doclib.ngxgroup.com/Financial_NewsDocs/32519_11_PLC_ 11_PLC_EXTENSION_OF_THE_DISSENTING_PERIOD_FOR_.pdf,2021-03-02T14:49:22Z
NGMOBIL00007,Corporate Actions,"OrderedDict([('@xml:space', 'preserve'), ('#text', '11 PLC - CLARIFICATION OF ISSUES RAISED ON THE DELISTING OF 11 PLC')])",https://doclib.ngxgroup.com/Financial_NewsDocs/32473_11_PLC_ 11_PLC_(FORMERLY_MOBIL_OIL_NIG_PLC) NSE_APPROV.pdf,2021-02-26T13:05:39Z
NGMOBIL00007,Corporate Actions,11 PLC -EXPLANATORY NOTES ON THE DELISTING OF 11 PLC FROM NSE,https://doclib.ngxgroup.com/Financial_NewsDocs/32389_11_PLC_ EXPLANATORY_NOTES_ON_THE_DELISTING_OF_11_PLC_F.pdf,2021-02-09T16:03:13Z
NGMOBIL00007,Corporate Actions,"OrderedDict([('@xml:space', 'preserve'), ('#text', '11 PLC - DEMOLITION OF MOBIL SERVICE STATION')])",https://doclib.ngxgroup.com/Financial_NewsDocs/32013_11_PLC_ 11_PLC__DEMOLITION_OF_MOBIL_SERVICE_STATION__C.pdf,2020-12-08T16:04:06Z
NGMOBIL00007,Corporate Actions,11 PLC -ANNUAL GENERAL MEETING RESOLUTIONS,https://doclib.ngxgroup.com/Financial_NewsDocs/31651_11_PLC_ II_PLC_MEMBERS_RESOLUTION_CORPORATE_ACTIONS_OC.pdf,2020-10-19T10:43:35Z
NGMOBIL00007,Board Meeting (BM),MOBIL OIL NIG PLC.- NOTICES OF BOARD MEETING (BM) - NOTICE,https://doclib.ngxgroup.com/Financial_NewsDocs/31600_MOBIL_OIL_NIG_PLC _NOTICES_OF_BOARD_MEETING_(BM)_ _NO.pdf,2020-10-12T11:46:31Z
