company_code,current_ratio,quick_ratio,debt_equity,debt_ebitda,debt_free_cash_flow,return_on_equity,return_on_assets,return_on_capital,revenue_per_employee,profits_per_employee,inventory_turnover,asset_turnover,gross_margin,operating_margin,profit_margin
mmm,1.89,1.23,1.53,2.28,2.92,46.74%,9.61%,18.90%,"$338,779","$56,674",3.97,n/a,48.41%,22.25%,16.73%
abt,1.72,1.14,0.57,2.11,3.28,13.91%,4.94%,16.60%,"$317,505","$41,239",3.22,n/a,56.65%,15.48%,12.99%
abbv,0.84,0.60,6.58,7.09,5.13,187.70%,8.19%,7.00%,"$974,553","$98,213",6.01,n/a,66.41%,24.81%,10.08%
abmd,5.76,4.81,n/a,n/a,n/a,17.37%,10.82%,27.90%,"$529,255","$130,512",1.79,n/a,80.91%,27.65%,24.66%
acn,1.39,1.27,0.19,0.39,0.37,31.88%,11.57%,59.30%,"$85,059","$10,163",n/a,n/a,31.66%,14.89%,11.95%
atvi,3.41,3.13,0.24,1.22,1.66,15.78%,8.23%,69.80%,"$851,158","$231,263",n/a,n/a,72.05%,33.81%,27.17%
adbe,1.27,1.12,0.35,0.83,0.81,46.36%,12.86%,74.80%,"$607,657","$247,202",n/a,n/a,87.45%,34.75%,40.68%
amd,2.54,1.81,0.09,0.32,0.68,57.48%,11.42%,36.00%,"$774,841","$197,619",4.55,n/a,44.53%,14.02%,25.50%
aap,1.32,0.33,0.86,3.21,4.33,13.87%,4.33%,8.90%,"$252,658","$12,326",1.25,n/a,44.34%,7.42%,4.88%
aes,1.01,0.56,7.55,8.40,23.25,2.96%,4.29%,2.80%,$1.18M,"$5,636",14.70,n/a,27.88%,16.68%,0.48%
afl,n/a,n/a,0.24,1.79,1.33,15.29%,1.73%,2.70%,$1.85M,"$398,067",n/a,n/a,46.74%,19.87%,21.57%
a,2.07,1.43,0.52,1.90,2.29,16.78%,7.50%,22.10%,"$337,195","$49,390",3.53,n/a,53.38%,17.34%,14.65%
apd,2.95,2.75,0.63,2.16,12.38,15.46%,6.11%,11.00%,"$472,463","$99,637",14.58,n/a,33.12%,24.68%,21.09%
akam,2.55,2.32,0.65,2.41,5.75,14.09%,5.94%,9.50%,"$382,188","$66,570",n/a,n/a,64.58%,20.59%,17.42%
alk,0.93,0.89,1.69,-3.82,-11.48,-35.50%,-9.62%,-15.60%,"$208,051","-$77,246",33.50,n/a,39.40%,-49.78%,-37.13%
alb,1.22,0.74,0.84,4.86,-69.28,10.43%,3.38%,5.30%,"$530,324","$63,689",2.81,n/a,31.80%,16.17%,12.01%
are,n/a,n/a,0.66,5.25,-2.22,6.40%,1.57%,3.10%,$4.10M,$1.62M,n/a,n/a,72.01%,25.93%,39.49%
alxn,3.59,2.71,0.24,2.73,0.95,5.26%,10.10%,8.20%,$1.58M,"$157,258",0.79,n/a,90.88%,11.18%,9.94%
algn,1.40,1.22,0.02,0.13,0.13,77.55%,6.60%,17.50%,"$136,798","$98,278",5.64,n/a,71.33%,15.66%,71.84%
alle,2.07,1.40,1.96,2.35,2.70,62.79%,12.72%,23.70%,"$238,217","$36,687",5.51,n/a,43.19%,18.47%,15.40%
lnt,0.68,0.36,1.26,4.92,-9.05,10.87%,2.60%,3.70%,$1.01M,"$184,889",9.28,n/a,39.67%,21.66%,18.27%
all,n/a,n/a,0.26,0.98,1.51,19.84%,4.33%,5.80%,$1.07M,"$133,206",n/a,n/a,44.45%,29.03%,12.45%
googl,3.07,2.95,0.11,0.41,0.59,19.00%,8.65%,21.70%,$1.35M,"$297,625",98.13,n/a,53.58%,22.59%,22.06%
goog,3.07,2.95,0.11,0.41,0.59,19.00%,8.65%,21.70%,$1.35M,"$297,625",98.13,n/a,53.58%,22.59%,22.06%
mo,0.79,0.56,10.38,3.52,3.61,95.56%,15.00%,17.50%,$3.68M,"$629,155",6.17,n/a,49.80%,41.57%,17.08%
amzn,1.05,0.86,0.90,1.65,2.72,27.44%,5.24%,13.10%,"$297,430","$16,434",10.53,n/a,39.57%,5.93%,5.53%
amcr,1.28,0.66,1.45,3.87,6.38,15.26%,5.06%,10.20%,"$265,611","$16,545",5.25,n/a,21.44%,9.32%,6.23%
aee,0.76,0.41,1.30,4.58,-7.36,10.15%,2.90%,3.70%,"$630,948","$94,849",6.74,n/a,40.99%,22.44%,15.03%
aal,1.04,0.91,n/a,-7.47,-6.99,n/a,-12.77%,-10.60%,"$113,348","-$69,735",5.91,n/a,20.96%,-71.60%,-61.52%
aep,0.42,0.23,0.19,0.61,-1.33,11.02%,2.46%,4.00%,"$920,480","$135,813",7.86,n/a,37.23%,19.72%,14.75%
axp,n/a,n/a,1.78,5.15,5.05,22.01%,2.64%,3.40%,"$524,443","$78,540",n/a,n/a,100.00%,20.47%,14.98%
aig,n/a,n/a,0.57,-20.54,36.16,-8.67%,0.31%,-1.00%,"$971,911","-$132,089",n/a,n/a,35.00%,-13.32%,-13.59%
amt,0.80,0.65,8.97,8.17,12.88,29.76%,4.37%,5.10%,$1.43M,"$300,926",n/a,n/a,72.30%,35.91%,21.02%
awk,0.66,0.38,1.71,4.95,-22.05,11.28%,3.42%,5.40%,"$539,571","$101,286",35.65,n/a,57.06%,41.06%,18.77%
amp,n/a,n/a,0.84,1.74,1.10,26.46%,1.06%,1.80%,"$967,398","$124,715",n/a,n/a,84.82%,22.16%,12.89%
abc,0.99,0.56,n/a,-0.81,1.40,-250.82%,3.28%,-304.50%,$8.84M,"-$146,432",15.21,n/a,2.78%,-2.49%,-1.66%
ame,2.34,1.68,0.41,1.70,1.98,15.77%,6.49%,29.60%,"$275,153","$52,875",5.06,n/a,34.00%,22.64%,19.22%
amgn,1.81,1.30,3.51,2.54,3.34,76.14%,9.51%,20.60%,$1.05M,"$298,930",1.65,n/a,75.77%,35.95%,28.57%
aph,2.38,1.60,0.72,1.99,2.91,24.15%,8.88%,24.00%,"$107,486","$15,043",4.28,n/a,30.98%,19.05%,13.99%
