company_code,revenue,gross_profit,operating_income,pre_tax_income,net_income,ebitda,ebit,eps,cash_equivalents,total_debt,net_cash,book_value,working_capital,operating_cashflow,capital_expenditures,free_cash_flow,income_tax
mmm,32.18B,15.58B,7.16B,6.70B,5.38B,8.61B,6.70B,$9.25,5.04B,19.66B,-14.62B,12.87B,7.03B,8.11B,-1.37B,6.74B,1.32B
abt,34.61B,19.61B,5.36B,4.99B,4.50B,8.87B,5.54B,$3.19,7.15B,18.75B,-11.60B,33.00B,8.53B,7.90B,-2.18B,5.72B,497.00M
abbv,45.80B,30.42B,11.36B,3.39B,4.62B,12.14B,5.67B,$2.72,8.48B,86.06B,-77.58B,13.08B,-4.49B,17.59B,-798.00M,16.79B,-1.22B
abmd,812.94M,657.74M,224.81M,254.04M,200.47M,277.31M,254.04M,$4.39,486.45M,n/a,486.45M,1.26B,573.29M,274.70M,-37.82M,236.88M,53.57M
acn,45.68B,14.46B,6.80B,7.13B,5.46B,9.02B,7.17B,$8.45,9.17B,3.47B,5.70B,18.31B,5.47B,10.04B,-524.32M,9.51B,1.67B
atvi,8.09B,5.83B,2.73B,2.62B,2.20B,2.97B,2.70B,$2.82,8.65B,3.61B,5.04B,15.04B,7.47B,2.25B,-78.00M,2.17B,419.00M
adbe,13.68B,11.97B,4.75B,4.69B,5.57B,5.65B,4.80B,$11.49,4.96B,4.71B,256.00M,13.55B,1.58B,6.17B,-384.00M,5.79B,-876.00M
amd,9.76B,4.35B,1.37B,1.28B,2.49B,1.68B,1.33B,$2.06,2.29B,531.00M,1.76B,5.84B,3.73B,1.07B,-294.00M,777.00M,-1.21B
aap,10.11B,4.48B,749.91M,651.02M,493.02M,947.98M,697.90M,$7.14,834.99M,3.05B,-2.21B,3.56B,1.53B,969.69M,-266.67M,703.02M,157.99M
aes,9.66B,2.69B,1.61B,262.00M,46.00M,2.37B,1.30B,$0.06,1.72B,19.88B,-18.16B,2.63B,52.00M,2.76B,-1.90B,855.00M,216.00M
afl,22.15B,10.35B,4.40B,4.16B,4.78B,4.40B,4.40B,$6.67,5.14B,7.90B,-2.76B,33.56B,n/a,5.96B,n/a,5.96B,-619.00M
a,5.53B,2.95B,959.00M,935.00M,810.00M,1.32B,1.01B,$2.60,1.33B,2.50B,-1.17B,4.80B,1.80B,1.22B,-125.00M,1.09B,125.00M
apd,8.98B,2.97B,2.22B,2.36B,1.89B,3.71B,2.49B,$8.51,6.20B,8.01B,-1.81B,12.68B,5.82B,3.37B,-2.73B,646.90M,471.60M
akam,3.20B,2.07B,658.53M,602.98M,557.05M,1.15B,672.10M,$3.37,1.10B,2.78B,-1.68B,4.25B,1.17B,1.22B,-731.87M,483.13M,45.92M
alk,3.57B,1.41B,-1.78B,-1.84B,-1.32B,-1.32B,-1.74B,-$9.88,3.35B,5.05B,-1.71B,2.99B,-287.00M,-234.00M,-206.00M,-440.00M,-516.00M
alb,3.13B,994.85M,505.81M,430.19M,375.76M,735.29M,503.31M,$3.52,746.72M,3.57B,-2.83B,4.27B,404.34M,798.91M,-850.48M,-51.56M,54.43M
are,1.93B,1.39B,499.24M,,760.32M,1.63B,922.65M,$5.57,534.40M,8.54B,-8.01B,12.99B,n/a,903.30M,-4.75B,-3.85B,n/a
alxn,6.07B,5.52B,678.70M,569.00M,603.40M,1.00B,673.70M,$2.72,3.00B,2.74B,260.30M,11.65B,4.21B,3.00B,-106.70M,2.90B,-34.40M
