company_code,name,code,category
mmm,Berkshire Hathaway Inc ,BRKA,Supplier
mmm,White Mountains Insurance Group ltd  ,WTM,Supplier
mmm,Thermo Fisher Scientific Inc  ,TMO,Supplier
mmm,Roper Technologies Inc  ,ROP,Supplier
mmm,Waters Corp ,WAT,Supplier
mmm,Air Products And Chemicals Inc  ,APD,Supplier
mmm,Norfolk Southern Corporation ,NSC,Supplier
mmm,Rockwell Automation Inc  ,ROK,Supplier
mmm,Old Dominion Freight Line Inc  ,ODFL,Supplier
mmm,Danaher Corporation ,DHR,Supplier
mmm,Saia Inc  ,SAIA,Supplier
mmm,Illinois Tool Works Inc ,ITW,Supplier
mmm,Idex Corp ,IEX,Supplier
mmm,Union Pacific Corporation ,UNP,Supplier
mmm,Hubbell Inc ,HUBB,Supplier
mmm,Cmc Materials Inc  ,CCMP,Supplier
mmm,Ppg Industries Inc  ,PPG,Supplier
mmm,Albemarle Corporation ,ALB,Supplier
mmm,Hunt J B Transport Services Inc ,JBHT,Supplier
mmm,Praxair Inc ,PX,Supplier
mmm,Dover Corp ,DOV,Supplier
mmm,International Business Machines Corporation ,IBM,Supplier
mmm,Applied Materials Inc ,AMAT,Supplier
mmm,Agilent Technologies inc  ,A,Supplier
mmm,Perkinelmer Inc  ,PKI,Supplier
mmm,Teradyne Inc ,TER,Supplier
mmm,Fmc Corporation ,FMC,Supplier
mmm,Chase Corporation ,CCF,Supplier
mmm,Eastman Chemical Co ,EMN,Supplier
mmm,Advanced Drainage Systems Inc  ,WMS,Supplier
mmm,Cincinnati Financial Corporation ,CINF,Supplier
mmm,Brooks Automation Inc  ,BRKS,Supplier
mmm,Chevron Corp ,CVX,Supplier
mmm,Csx Corporation ,CSX,Supplier
mmm,Dell Technologies Inc  ,DELL,Supplier
mmm,Badger Meter Inc  ,BMI,Supplier
mmm,Rpm International Inc  ,RPM,Supplier
mmm,Westlake Chemical Corporation ,WLK,Supplier
mmm,Ashland Global Holdings Inc  ,ASH,Supplier
mmm,Emerson Electric Co  ,EMR,Supplier
mmm,Albany International Corp  ,AIN,Supplier
mmm,Timken Co ,TKR,Supplier
mmm,Franklin Electric Co Inc  ,FELE,Supplier
mmm,Kmg Chemicals Inc ,KMG,Supplier
mmm,Ingevity Corporation ,NGVT,Supplier
mmm,Southern Copper Corp ,SCCO,Supplier
mmm,Arcbest Corporation ,ARCB,Supplier
mmm,Fuller H B Co ,FUL,Supplier
mmm,Materion Corporation ,MTRN,Supplier
mmm,Hub Group Inc  ,HUBG,Supplier
mmm,Newmont Corporation ,NEM,Supplier
mmm,Dow Inc  ,DOW,Supplier
mmm,Bemis Co Inc ,BMS,Supplier
mmm,Cabot Corporation ,CBT,Supplier
mmm,Columbus Mckinnon Corporation ,CMCO,Supplier
mmm,Versum Materials Inc  ,VSM,Supplier
mmm,Conocophillips ,COP,Supplier
mmm,Barnes Group Inc  ,B,Supplier
mmm,Avient Corp ,AVNT,Supplier
mmm,Ufp Technologies Inc ,UFPT,Supplier
mmm,Werner Enterprises Inc  ,WERN,Supplier
mmm,Axcelis Technologies Inc ,ACLS,Supplier
mmm,Model N Inc  ,MODN,Supplier
mmm,Kraton corp ,KRA,Supplier
mmm,Freeport mcmoran Inc  ,FCX,Supplier
mmm,Sunoco Lp ,SUN,Supplier
mmm,Abb Ltd ,ABB,Supplier
mmm,Momentive Performance Materials Inc. ,MPMQ,Supplier
mmm,Arcelormittal ,MT,Supplier
mmm,Advansix Inc  ,ASIX,Supplier
mmm,Haynes International inc  ,HAYN,Supplier
mmm,Unifi Inc  ,UFI,Supplier
mmm,Westlake Chemical Partners Lp ,WLKP,Supplier
mmm,Gcp Applied Technologies Inc  ,GCP,Supplier
mmm,Comtech Telecommunications Corp ,CMTL,Supplier
mmm,Allegheny Technologies Incorporated ,ATI,Supplier
mmm,Schneider National Inc  ,SNDR,Supplier
mmm,United States Steel Corp ,X,Supplier
mmm,Fluor Corporation ,FLR,Supplier
mmm,Covenant Logistics Group Inc  ,CVLG,Supplier
mmm,American Software Inc  ,AMSWA,Supplier
mmm,"Onebeacon Insurance Group, Ltd. ",OB,Supplier
mmm,Stillwater Mining Co ,SWC,Supplier
mmm,American Superconductor Corp ,AMSC,Supplier
mmm,Astronics Corporation ,ATRO,Supplier
mmm,Viavi Solutions Inc  ,VIAV,Supplier
mmm,Usa Truck inc  ,USAK,Supplier
mmm,Mueller Water Products Inc  ,MWA,Supplier
mmm,Sifco Industries Inc ,SIF,Supplier
mmm,Kvh Industries Inc  ,KVHI,Supplier
mmm,Xerium Technologies Inc ,XRM,Supplier
mmm,Amtech Systems Inc  ,ASYS,Supplier
mmm,Rayonier Advanced Materials Inc  ,RYAM,Supplier
mmm,Yellow Corporation ,YELL,Supplier
mmm,Universal Stainless and Alloy Products inc  ,USAP,Supplier
mmm,American Soil Technologies Inc ,SOIL,Supplier
mmm,Trecora Resources ,TREC,Supplier
mmm,Ampco Pittsburgh Corp ,AP,Supplier
mmm,Bonso Electronics International Inc ,BNSO,Supplier
mmm,Lsb Industries Inc  ,LXU,Supplier
mmm,Calumet Specialty Products Partners L p  ,CLMT,Supplier
mmm,Tuanche Ltd ,TC,Supplier
mmm,Trilogy Metals Inc  ,TMQ,Supplier
