company_code,trading_date,current_stock_price,previous_closing_stock_price,stock_price_change,percentage_stock_price_change,opening_stock_price,stocks_day_range,day_trading_volume,fifty_two_week_range,analysts_forecast
mmm,April 27,$194.45,$199.63,-5.18,-2.59%,191.81,188.63 - 195.86,"4,662,253",126.52 - 203.15,"According to 19 analysts, the average rating for 3M Company stock is ""Hold."" The 12-month stock price forecast is 191.58, which is a decrease of -1.48% from the latest price."
abt,April 27,$121.70,$122.58,-0.88,-0.72%,122.00,121.00 - 122.55,"2,526,673",84.89 - 128.07,"According to 21 analysts, the average rating for ABT stock is ""Buy."" The 12-month stock price forecast is 135.84, which is an increase of 11.62% from the latest price."
abbv,April 27,$111.44,$111.39,0.05,0.04%,111.25,110.58 - 111.85,"2,743,511",76.62 - 112.04,"According to 22 analysts, the average rating for AbbVie stock is ""Buy."" The 12-month stock price forecast is 122.17, which is an increase of 9.63% from the latest price."
abmd,April 27,$340.63,$348.20,-7.57,-2.17%,348.79,340.16 - 349.14,"226,919",161.00 - 387.40,"According to 9 analysts, the average rating for Abiomed stock is ""Buy."" The 12-month stock price forecast is 374.00, which is an increase of 9.80% from the latest price."
acn,April 27,$290.25,$289.52,0.73,0.25%,290.07,288.07 - 290.89,"1,270,917",172.50 - 293.28,"According to 28 analysts, the average rating for Accenture stock is ""Buy."" The 12-month stock price forecast is 298.83, which is an increase of 2.96% from the latest price."
atvi,April 27,$91.60,$94.24,-2.64,-2.80%,94.51,91.26 - 94.86,"8,196,808",62.04 - 104.03,"According to 33 analysts, the average rating for ATVI stock is ""Buy."" The 12-month stock price forecast is 113.29, which is an increase of 23.68% from the latest price."
adbe,April 27,$517.32,$515.70,1.62,0.31%,518.00,511.35 - 519.16,"1,725,446",332.57 - 536.88,"According to 26 analysts, the average rating for Adobe stock is ""Buy."" The 12-month stock price forecast is 571.99, which is an increase of 10.57% from the latest price."
amd,April 27,$85.21,$85.41,-0.20,-0.23%,85.80,85.13 - 87.15,"54,250,389",48.42 - 99.23,"According to 37 analysts, the average rating for AMD stock is ""Buy."" The 12-month stock price forecast is 102.50, which is an increase of 20.29% from the latest price."
aap,April 27,$197.28,$197.14,0.14,0.07%,198.56,197.06 - 199.18,"578,210",114.27 - 202.54,"According to 25 analysts, the average rating for AAP stock is ""Buy."" The 12-month stock price forecast is 207.69, which is an increase of 5.28% from the latest price."
aes,April 27,$27.80,$28.21,-0.41,-1.45%,28.27,27.71 - 28.29,"2,982,376",10.75 - 29.07,"According to 10 analysts, the average rating for AES stock is ""Buy."" The 12-month stock price forecast is 30.36, which is an increase of 9.21% from the latest price."
afl,April 27,$53.53,$53.37,0.16,0.30%,53.40,53.18 - 53.57,"2,466,756",29.66 - 54.06,"According to 11 analysts, the average rating for Aflac stock is ""Hold."" The 12-month stock price forecast is 51.91, which is a decrease of -3.03% from the latest price."
a,April 27,$136.48,$137.34,-0.86,-0.63%,136.93,136.23 - 137.44,"1,752,897",72.90 - 137.83,"According to 18 analysts, the average rating for A stock is ""Buy."" The 12-month stock price forecast is 140.23, which is an increase of 2.75% from the latest price."
