company_code,employee_name,employee_role
mmm,Michael F. Roman,"Chairman, President and Chief Executive Officer"
mmm,Monish D. Patolawala,Executive Vice President and Chief Financial Officer
mmm,Dr. Michael G. Vale Ph.D.,Group President of Safety and Industrial
mmm,Eric D. Hammes,Group President of Enterprise Operations
mmm,Mojdeh Poul,Group President of Health Care
mmm,Theresa E. Reinseth,"Senior Vice President, Corporate Controller and Chief Accounting Officer"
mmm,Dr. John P. Banovetz,"Executive Vice President, Chief Technology Officer and Environmental Responsibility"
mmm,Bruce Jermeland C.F.A.,Vice President of Investor Relations
mmm,Ivan K. Fong,"Executive Vice President, Chief Legal and Policy Officer, General Counsel and Secretary"
mmm,Michael A. Duran,Senior Vice President and Chief Ethics and Compliance Officer
abt,Miles D. White M.B.A.,Executive Chairman
abt,Robert B. Ford,"President, Chief Executive Officer and Director"
abt,Robert E. Funck Jr.,Executive Vice President of Finance and Chief Financial Officer
abt,Hubert L. Allen,"Executive Vice President, General Counsel and Secretary"
abt,Daniel Gesua Sive Salvadori,Executive Vice President of Nutritional Products
abt,John F. Ginascol,Executive Vice President of Core Diagnostics
abt,Gregory A. Ahlberg,Senior Vice President of Core Laboratory Diagnostics and Commercial Operations
abt,Scott Michael Leinenweber,"Vice President of Investor Relations, Licensing and Acquisitions"
abt,James E. Young,Vice President and Chief Ethics and Compliance Officer
abt,Melissa Brotz,Vice President of Public Affairs and Corporate Marketing
abbv,Richard A. Gonzalez,Chairman and Chief Executive Officer
abbv,Dr. Michael E. Severino,Vice Chairman and Pres
abbv,Robert A. Michael,Executive Vice President and Chief Financial Officer
abbv,Laura J. Schumacher,"Vice Chairman of External Affairs, Chief Legal Officer and Corporate Secretary"
abbv,Dr. Azita Saleki-Gerhardt,Executive Vice President of Operations
abbv,Dr. Thomas J. Hudson,Senior Vice President of Research & Development and Chief Scientific Officer
abbv,Elizabeth Shea,Vice President of Investor Relations
abbv,Timothy J. Richmond,Executive Vice President and Chief Human Resources Officer
abbv,Scott C. Brun M.D.,Vice President of Scientific Affairs and Head of AbbVie Ventures
abbv,Henry O. Gosebruch,Executive Vice President and Chief Strategy Officer
abmd,Michael R. Minogue,"Chairman, Chief Executive Officer and Pres"
abmd,Todd A. Trapp,Chief Financial Officer and Vice President
abmd,Dr. David M. Weber,Senior Vice President and Chief Operating Officer
abmd,Michael G. Howley,Vice President and GM of Global Sales
